TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612742,Dallas,Mavericks,2009,82,55,27,0.671,2,1,2,4,N/A,3140,6760,0.464,558,1498,0.372,1526,1870,0.816,8364,11
1610612742,Dallas,Mavericks,2010,82,57,25,0.695,3,2,16,5,LEAGUE CHAMPION,3069,6463,0.475,645,1768,0.365,1437,1850,0.777,8220,11
1610612742,Dallas,Mavericks,2011,66,36,30,0.545,7,3,0,4,N/A,2398,5412,0.443,497,1464,0.339,1029,1334,0.771,6322,19
1610612742,Dallas,Mavericks,2012,82,41,41,0.5,10,4,0,0,N/A,3182,6892,0.462,606,1628,0.372,1323,1669,0.793,8293,8
1610612742,Dallas,Mavericks,2013,82,49,33,0.598,8,4,3,4,N/A,3249,6858,0.474,721,1877,0.384,1378,1733,0.795,8597,8
1610612742,Dallas,Mavericks,2014,82,50,32,0.61,7,4,1,4,N/A,3255,7036,0.463,732,2082,0.352,1386,1843,0.752,8628,3
1610612742,Dallas,Mavericks,2015,82,42,40,0.512,6,2,1,4,N/A,3064,6900,0.444,806,2342,0.344,1454,1831,0.794,8388,16
1610612742,Dallas,Mavericks,2016,82,33,49,0.402,11,5,0,0,N/A,2968,6750,0.44,878,2473,0.355,1215,1516,0.801,8029,30
1610612742,Dallas,Mavericks,2017,82,24,58,0.293,13,4,0,0,N/A,3128,7042,0.444,967,2688,0.36,1167,1530,0.763,8390,28
1610612742,Dallas,Mavericks,2018,82,33,49,0.402,14,5,0,0,N/A,3182,7122,0.447,1022,3002,0.34,1541,2076,0.742,8927,21
1610612742,Dallas,Mavericks,2019,75,43,32,0.573,7,2,2,4,N/A,3124,6772,0.461,1136,3095,0.367,1392,1787,0.779,8776,1
1610612742,Dallas,Mavericks,2020,72,42,30,0.583,5,1,3,4,N/A,2958,6287,0.47,994,2744,0.362,1186,1524,0.778,8096,17
1610612742,Dallas,Mavericks,2021,82,52,30,0.634,4,2,9,9,N/A,3222,6982,0.461,1073,3063,0.35,1341,1739,0.771,8858,24
1610612743,Denver,Nuggets,2000,82,40,42,0.488,11,6,0,0,N/A,2979,6877,0.433,512,1444,0.355,1448,1964,0.737,7918,11
1610612743,Denver,Nuggets,2001,82,27,55,0.329,12,6,0,0,N/A,2915,6870,0.424,423,1285,0.329,1306,1756,0.744,7559,23
1610612743,Denver,Nuggets,2002,82,17,65,0.207,14,7,0,0,N/A,2689,6544,0.411,229,824,0.278,1294,1850,0.699,6901,29
